file,x,y,z-score,stddev,value,clusterIdx,clusterSz
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2581,15,6.6232805042682585,2.197538407956296,14.554913294797643,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4472,25,-6.164642169401244,3.021613764139532,-18.627167630057784,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1811,28,9.238744408707088,2.1394569520863413,19.765895953757195,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2917,35,6.734054399294963,2.342506540434244,15.774566473988443,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3879,72,12.466053022511435,4.7555739484795145,59.28323699421969,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2749,80,-6.159633229467024,140.22445520633187,-863.7312138728321,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2201,167,-6.2099739975373165,5.089239706206132,-31.60404624277453,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1397,215,12.465242053700246,4.741276247565547,59.10115606936415,0,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1397,216,13.93613480388285,4.641943577286774,64.69075144508668,0,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1553,249,-10.032308293875234,363.6148179361952,-3647.8959537572246,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2213,286,-13.28488135094342,77.79541742764737,-1033.5028901734113,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3579,309,-6.167775008892832,5.060330931974477,-31.21098265895955,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4340,314,-6.236067141454345,5.058675934526492,-31.546242774566508,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3265,406,-11.57453876959949,114.29312214884735,-1322.8901734104038,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4756,523,-6.151970434455199,4.781117710344232,-29.413294797687854,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,839,541,-6.11231828721121,4.901028708128995,-29.956647398843984,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1295,545,-7.5881961280211705,4.855045895082185,-36.84104046242771,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4,672,-6.262294925932372,126.32259794823865,-791.06936416185,-1,1
